gene,r01_Cy5,r01_TxRed,r01_Cy3,r01_FAM
PRISM_01,4,0,0,0
PRISM_02,3,1,0,0
PRISM_03,2,2,0,0
PRISM_04,1,3,0,0
PRISM_05,0,4,0,0
PRISM_06,3,0,0,1
PRISM_07,2,1,0,1
PRISM_08,1,2,0,1
PRISM_09,0,3,0,1
PRISM_10,2,0,0,2
PRISM_11,1,1,0,2
PRISM_12,0,2,0,2
PRISM_13,1,0,0,3
PRISM_14,0,1,0,3
PRISM_15,0,0,0,4
PRISM_16,4,0,1,0
PRISM_17,3,1,1,0
PRISM_18,2,2,1,0
PRISM_19,1,3,1,0
PRISM_20,0,4,1,0
PRISM_21,3,0,1,1
PRISM_22,2,1,1,1
PRISM_23,1,2,1,1
PRISM_24,0,3,1,1
PRISM_25,2,0,1,2
PRISM_26,1,1,1,2
PRISM_27,0,2,1,2
PRISM_28,1,0,1,3
PRISM_29,0,1,1,3
PRISM_30,0,0,1,4
