Gene,ch1/A,ch2/A,ch3/A,ch4/A,log10_sum
PRISM_1,1.0,0.0,0.0,0.0,1.0
PRISM_2,1.0,0.0,1.0,0.0,1.0
PRISM_3,0.75,0.25,0.0,0.0,1.0
PRISM_4,0.75,0.25,1.0,0.0,1.0
PRISM_5,0.5,0.5,0.0,0.0,1.0
PRISM_6,0.5,0.5,1.0,0.0,1.0
PRISM_7,0.25,0.75,0.0,0.0,1.0
PRISM_8,0.25,0.75,1.0,0.0,1.0
PRISM_9,0.0,1.0,0.0,0.0,1.0
PRISM_10,0.0,1.0,1.0,0.0,1.0
PRISM_11,0.0,0.75,0.0,0.25,1.0
PRISM_12,0.0,0.75,1.0,0.25,1.0
PRISM_13,0.0,0.5,0.0,0.5,1.0
PRISM_14,0.0,0.5,1.0,0.5,1.0
PRISM_15,0.0,0.25,0.0,0.75,1.0
PRISM_16,0.0,0.25,1.0,0.75,1.0
PRISM_17,0.0,0.0,0.0,1.0,1.0
PRISM_18,0.0,0.0,1.0,1.0,1.0
PRISM_19,0.25,0.0,0.0,0.75,1.0
PRISM_20,0.25,0.0,1.0,0.75,1.0
PRISM_21,0.5,0.0,0.0,0.5,1.0
PRISM_22,0.5,0.0,1.0,0.5,1.0
PRISM_23,0.75,0.0,0.0,0.25,1.0
PRISM_24,0.75,0.0,1.0,0.25,1.0
PRISM_25,0.5,0.25,0.0,0.25,1.0
PRISM_26,0.5,0.25,1.0,0.25,1.0
PRISM_27,0.25,0.5,0.0,0.25,1.0
PRISM_28,0.25,0.5,1.0,0.25,1.0
PRISM_29,0.25,0.25,0.0,0.5,1.0
PRISM_30,0.25,0.25,1.0,0.5,1.0
Pure_Cy3,0.0,0.0,1.0,0.0,1.0
